feature,mean_importance
return_correlation_ts1_lag_1,-0.00022015477391493788
return_correlation_ts2_lag_3,-0.00019833897293983772
return_kurtosis2,-0.00014053613118740206
price1_granger_cause_price2,-1.4248006473993603e-05
return_correlation_ts2_lag_1,0.0
return_skew1,0.0
price2_granger_cause_price1,0.0
return_autocorrelation_lag1_1,0.0
return_skew2,2.0515867348386285e-05
return_mean1,9.336120438303009e-05
return_correlation_ts1_lag_3,0.00013387016095650628
return_correlation_ts2_lag_2,0.00014540293179025055
return_autocorrelation_lag1_2,0.0003527073425123206
return_correlation_ts1_lag_2,0.00035547539591790356
return_sd1,0.0005580098635849073
return_correlation_ts1_lag_0,0.0008258797999086187
return_sd2,0.0013139633868617718
return_kurtosis1,0.001572812310066729
return_mean2,0.026041806596277785
return_autocorrelation_lag1_rolling_sd1,0.2524220095412142
return_autocorrelation_lag1_rolling_sd2,0.4439255075079614
