feature,mean_importance
return_correlation_ts2_lag_2,0.00027385245022372163
sqreturn_correlation_ts2_lag_2,0.0002738524502237438
sqreturn_correlation_ts1_lag_2,0.00037306991883846453
return_correlation_ts1_lag_2,0.00037306991883847564
return_sd2,0.000501002389862526
return_skew2,0.0005239098601604209
return_autocorrelation_2_lag2,0.001058721714773947
return_correlation_ts1_lag_3,0.0010672752502128512
sqreturn_correlation_ts1_lag_3,0.0010672752502128625
return_sd1,0.0010780465222205548
return_autocorrelation_2_lag1,0.0012698407431110947
return_correlation_ts2_lag_3,0.0013593751594408565
sqreturn_correlation_ts2_lag_3,0.0013593751594408899
return_autocorrelation_2_lag3,0.0013801935938081767
return_skew1,0.0014338343428246358
sqreturn_correlation_ts2_lag_1,0.0021566170017035093
return_correlation_ts2_lag_1,0.00215661700170352
sqreturn_correlation_ts1_lag_1,0.0026924620418406265
return_correlation_ts1_lag_1,0.0026924620418406374
return_autocorrelation_1_lag2,0.003251962792815255
return_autocorrelation_1_lag3,0.0037129578786551654
return_autocorrelation_1_lag1,0.004130016816315474
sqreturn_correlation_ts1_lag_0,0.005981633736343628
return_correlation_ts1_lag_0,0.005981633736343639
sqreturn_autocorrelation_ts2_lag3,0.006342057984221749
return_kurtosis2,0.00784707961952109
price1_granger_cause_price2,0.011511376971197107
return_mean2,0.013136531394633121
sqreturn_autocorrelation_ts2_lag2,0.01622056913543062
sqreturn_autocorrelation_ts1_lag3,0.018309306945109672
price2_granger_cause_price1,0.019342046015681312
return_mean1,0.019894114464134815
sqreturn_autocorrelation_ts2_lag1,0.024096114252701306
sqreturn_autocorrelation_ts1_lag1,0.027168438587952516
sqreturn_autocorrelation_ts1_lag2,0.03041993166923358
return_kurtosis1,0.29111103526216753
