feature,shap_importance
return_kurtosis1,2.226244955496007
return_kurtosis2,1.0997490954952163
price2_granger_cause_price1,0.17765052328536865
price1_granger_cause_price2,0.16411630043323128
return_sd2,0.1626574172721034
sqreturn_autocorrelation_ts1_lag1,0.13123722121901327
sqreturn_autocorrelation_ts2_lag1,0.11690537594304656
return_sd1,0.08776129389612422
sqreturn_autocorrelation_ts1_lag2,0.0794077306084001
sqreturn_autocorrelation_ts1_lag3,0.06476403580155282
return_mean1,0.061087321630476595
sqreturn_autocorrelation_ts2_lag2,0.05756061121399164
return_skew2,0.050791456826584515
sqreturn_autocorrelation_ts2_lag3,0.03890466650343086
return_skew1,0.037311144900453286
return_autocorrelation_2_lag1,0.03697670782695053
return_autocorrelation_2_lag3,0.02244906675195988
return_mean2,0.020932563794743748
sqreturn_correlation_ts1_lag_1,0.02016143277043218
return_correlation_ts1_lag_1,0.02016143277043218
return_correlation_ts1_lag_0,0.019803779356984002
sqreturn_correlation_ts1_lag_0,0.019803779356984002
return_autocorrelation_1_lag3,0.019136361855517363
sqreturn_correlation_ts2_lag_3,0.01808005584788237
return_correlation_ts2_lag_3,0.01808005584788237
return_autocorrelation_2_lag2,0.017784151562955836
sqreturn_correlation_ts1_lag_3,0.016435312947653876
return_correlation_ts1_lag_3,0.016435312947653876
sqreturn_correlation_ts2_lag_1,0.01426066947396682
return_correlation_ts2_lag_1,0.01426066947396682
sqreturn_correlation_ts1_lag_2,0.009029488864086568
return_correlation_ts1_lag_2,0.009029488864086568
sqreturn_correlation_ts2_lag_2,0.007454236396832267
return_correlation_ts2_lag_2,0.007454236396832267
return_autocorrelation_1_lag2,0.0034727404131675403
return_autocorrelation_1_lag1,0.0021332180534602676
