feature,weight
intercept,-3.077503528031628
mean1,-1.7136922332215605
mean2,-0.7109205607623902
sd1,-0.6321032274941032
sd2,-0.3096758358270529
skewness1,0.12850218403689098
skewness2,-0.6282215582267396
kurtosis1,-1.200752960578212
kurtosis2,-0.8701664078895988
return_autocorrelation_1_lag1,0.28616011853135553
return_autocorrelation_1_lag2,0.09415656821582717
return_autocorrelation_1_lag3,0.21411122372032054
return_autocorrelation_2_lag1,1.1031319563405404
return_autocorrelation_2_lag2,1.082012822257046
return_autocorrelation_2_lag3,1.0408065306184129
return_correlation_ts1_lag_0,-0.1075798221676184
return_correlation_ts1_lag_1,0.28559032140475477
return_correlation_ts1_lag_2,0.2383582658061236
return_correlation_ts1_lag_3,0.2607929648033468
return_correlation_ts2_lag_1,0.28025936633676163
return_correlation_ts2_lag_2,0.18410724125796782
return_correlation_ts2_lag_3,0.18010905186762707
sqreturn_autocorrelation_ts1_lag1,-0.2127768745284133
sqreturn_autocorrelation_ts1_lag2,-0.20481103044243523
sqreturn_autocorrelation_ts1_lag3,-0.11474971170977089
sqreturn_autocorrelation_ts2_lag1,0.9890338145020425
sqreturn_autocorrelation_ts2_lag2,1.1212676975438423
sqreturn_autocorrelation_ts2_lag3,1.1324337723183375
sqreturn_correlation_ts1_lag_0,-0.1075798221676184
sqreturn_correlation_ts1_lag_1,0.28559032140475477
sqreturn_correlation_ts1_lag_2,0.2383582658061236
sqreturn_correlation_ts1_lag_3,0.2607929648033468
sqreturn_correlation_ts2_lag_1,0.28025936633676163
sqreturn_correlation_ts2_lag_2,0.18410724125796782
sqreturn_correlation_ts2_lag_3,0.18010905186762707
price2_granger_cause_price1,-0.303219678420812
price1_granger_cause_price2,-0.3924667677551086
