feature,mean_importance
return_autocorrelation_2_lag2,-0.0012679140178354642
return_skew1,-0.0006607727742221515
return_correlation_ts1_lag_2,-0.0002228825908309362
sqreturn_correlation_ts1_lag_2,-0.00022288259083093342
return_correlation_ts2_lag_2,-0.00010714816791225212
sqreturn_correlation_ts2_lag_2,-0.00010714816791225212
return_autocorrelation_2_lag1,-5.176755722222648e-05
sqreturn_correlation_ts1_lag_3,-5.967959819744295e-06
return_correlation_ts1_lag_3,-5.967959819738744e-06
return_autocorrelation_1_lag3,3.370496442643422e-05
return_autocorrelation_1_lag1,5.7460540365944504e-05
return_correlation_ts1_lag_1,8.290623301488165e-05
sqreturn_correlation_ts1_lag_1,8.290623301488443e-05
return_autocorrelation_1_lag2,0.00014520581311854852
return_correlation_ts2_lag_3,0.0004844486088902672
sqreturn_correlation_ts2_lag_3,0.00048444860889027274
sqreturn_correlation_ts2_lag_1,0.0005879181627721497
return_correlation_ts2_lag_1,0.000587918162772158
price2_granger_cause_price1,0.0007678281325187636
return_autocorrelation_2_lag3,0.001244811529407136
return_correlation_ts1_lag_0,0.0027025802929572574
sqreturn_correlation_ts1_lag_0,0.0027025802929572574
sqreturn_autocorrelation_ts1_lag1,0.004322686912667908
sqreturn_autocorrelation_ts1_lag2,0.004670952682519508
price1_granger_cause_price2,0.004825488382305299
return_skew2,0.008587784817433964
return_kurtosis2,0.010304834722354144
sqreturn_autocorrelation_ts2_lag3,0.01031050689856373
return_sd2,0.012601610641105394
return_kurtosis1,0.013212272617339657
sqreturn_autocorrelation_ts1_lag3,0.013768603308474306
sqreturn_autocorrelation_ts2_lag1,0.01397453959400935
sqreturn_autocorrelation_ts2_lag2,0.015607091724840445
return_mean2,0.055948173170600815
return_mean1,0.07407679175887763
return_sd1,0.32824266629316645
