feature,mean_importance
price2_granger_cause_price1,-0.02016203206154123
return_correlation_ts2_lag_3,-0.004710702292636801
price1_granger_cause_price2,-0.0022512445751761813
sqreturn_correlation_ts2_lag_3,-6.518072327298675e-05
sqreturn_correlation_ts1_lag_1,0.000935084471923625
return_correlation_ts1_lag_1,0.0015510954729333394
return_correlation_ts2_lag_2,0.0020973716589360756
sqreturn_correlation_ts2_lag_1,0.0029955992895406625
sqreturn_correlation_ts2_lag_2,0.003691159683207801
return_correlation_ts2_lag_1,0.003739207473768824
sqreturn_autocorrelation_ts1_lag1,0.005904612056469976
sqreturn_correlation_ts1_lag_2,0.009513572090139732
return_autocorrelation_2_lag1,0.010459054077608481
sqreturn_correlation_ts1_lag_0,0.010733363645785787
sqreturn_autocorrelation_ts2_lag1,0.01140764312121289
return_correlation_ts1_lag_2,0.011961982169101054
sqreturn_correlation_ts1_lag_3,0.011979569663603107
return_correlation_ts1_lag_3,0.012984122948640719
return_mean1,0.017374443161351845
return_correlation_ts1_lag_0,0.017519474748299495
return_autocorrelation_2_lag2,0.024791183345223983
return_autocorrelation_2_lag3,0.025395111794487873
return_autocorrelation_1_lag3,0.028546562734968178
return_autocorrelation_1_lag2,0.033727417333634165
return_autocorrelation_1_lag1,0.03666870254208468
sqreturn_autocorrelation_ts1_lag2,0.04294417031282124
sqreturn_autocorrelation_ts2_lag2,0.04515787481180451
return_mean2,0.07443426552030383
return_skew1,0.08356639479397274
sqreturn_autocorrelation_ts2_lag3,0.08648987063716419
return_skew2,0.10663389893764182
sqreturn_autocorrelation_ts1_lag3,0.11024908500321659
return_sd1,0.18495122657882498
return_sd2,0.3577765327167214
return_kurtosis1,0.4666151646740072
return_kurtosis2,0.5045904264530953
