feature,shap_importance
kurtosis1,0.1317040883905685
sqreturn_autocorrelation_ts2_lag3,0.07326420366404622
kurtosis2,0.06497919375013701
mean2,0.04716186781017829
sqreturn_correlation_ts1_lag_0,0.03337296428659725
return_correlation_ts1_lag_0,0.02927832963807188
sqreturn_autocorrelation_ts1_lag3,0.026945948835321018
sd1,0.025529084069428724
sqreturn_autocorrelation_ts2_lag2,0.020517455910617526
skewness1,0.00903701840536309
price1_granger_cause_price2,0.008131599034236207
mean1,0.00671187421784778
sqreturn_autocorrelation_ts1_lag2,0.00414505511125339
sqreturn_autocorrelation_ts1_lag1,0.0038098314271590335
return_autocorrelation_1_lag1,0.0036253718073886347
return_autocorrelation_2_lag1,0.0029889077748911368
sd2,0.001953071693792386
sqreturn_autocorrelation_ts2_lag1,0.0016945502189100088
price2_granger_cause_price1,0.0011257734175723763
sqreturn_correlation_ts1_lag_1,0.0010134418849153763
return_correlation_ts1_lag_1,0.0009610403909999967
return_autocorrelation_2_lag3,0.0008736074519797356
skewness2,0.0008683965071451299
return_autocorrelation_1_lag3,0.0005312235159974105
return_autocorrelation_1_lag2,0.0004918036064283922
return_correlation_ts2_lag_2,0.0004895603738521631
sqreturn_correlation_ts2_lag_2,0.0004511505476089932
sqreturn_correlation_ts1_lag_2,0.00039960885904480906
sqreturn_correlation_ts1_lag_3,0.00037172307100790465
return_correlation_ts2_lag_3,0.00032624692774493804
sqreturn_correlation_ts2_lag_1,0.0002588801022294089
return_correlation_ts1_lag_3,0.00021269448860940674
sqreturn_correlation_ts2_lag_3,9.962802216306265e-05
return_autocorrelation_2_lag2,0.0
return_correlation_ts1_lag_2,0.0
return_correlation_ts2_lag_1,0.0
