feature,shap_importance
kurtosis1,1.0511963727078526
skewness2,0.9044688697359861
kurtosis2,0.8930259511723873
mean1,0.44941058032351644
sd2,0.4318348207018861
sd1,0.3390397825658815
sqreturn_autocorrelation_ts2_lag3,0.3345785706570192
return_autocorrelation_2_lag1,0.32615117233559393
sqreturn_autocorrelation_ts2_lag2,0.3000985358433214
return_autocorrelation_2_lag3,0.2875242657503877
sqreturn_autocorrelation_ts2_lag1,0.28733677049802475
mean2,0.28584284875411997
return_autocorrelation_2_lag2,0.2718334650084189
price1_granger_cause_price2,0.13551783883807897
price2_granger_cause_price1,0.06842284018400187
skewness1,0.06388479883134753
return_correlation_ts1_lag_1,0.031392065305517525
sqreturn_correlation_ts1_lag_1,0.031392065305517525
return_correlation_ts2_lag_1,0.027211019887788405
sqreturn_correlation_ts2_lag_1,0.027211019887788405
return_correlation_ts2_lag_3,0.02472533770870279
sqreturn_correlation_ts2_lag_3,0.02472533770870279
sqreturn_correlation_ts1_lag_3,0.01954832029863086
return_correlation_ts1_lag_3,0.01954832029863086
return_correlation_ts1_lag_2,0.01819112811635952
sqreturn_correlation_ts1_lag_2,0.01819112811635952
return_correlation_ts2_lag_2,0.01706853918070589
sqreturn_correlation_ts2_lag_2,0.01706853918070589
sqreturn_autocorrelation_ts1_lag1,0.014933096908772356
sqreturn_autocorrelation_ts1_lag2,0.014055017673808238
return_autocorrelation_1_lag1,0.010494696281502408
sqreturn_autocorrelation_ts1_lag3,0.009385299444889061
return_autocorrelation_1_lag3,0.009219921529674898
return_autocorrelation_1_lag2,0.006541106089251831
sqreturn_correlation_ts1_lag_0,0.0031611631089431117
return_correlation_ts1_lag_0,0.0031611631089431117
